Export Parameters
Hansatech Instruments Ltd Handy PEA Data
PEA Plus Version: 1.13
Format:2a
Comment1:                                                                                                   
Comment2:                                                                                                   
Comment3:                                                                                                   
Comment4:                                                                                                   

Calculate PI using Fo=TRUE

Record No,P. Light,P. Dur.(sec),Light,Gain,Dur.(sec),Flash,Date,Time,ID,Scaled,Scale,Offset,Protocol,Dark Offset, ,t for Fm,Area,Fo,Fm,Fv,F1,F2,F3,F4,F5,Fo/Fm,Fv/Fm,PI Inst.,Fv/Fo,Vj,Vi,dVG/dto,dV/dto,Sm,N,Sm/t(Fm),ABS/RC,DIo/RC,TRo/RC,ETo/RC,REo/RC,phi(Po),psi(Eo),phi(Eo),delta(Ro),phi(Ro),ABS/CSo,DIo/CSo,TRo/CSo,ETo/CSo,REo/CSo,ABS/CSm,DIo/CSm,TRo/CSm,ETo/CSm,REo/CSm,gamma(RC)/((1-gamma(RC)),phi(Po)/((1-phi(Po)),psi(Eo)/(1-psi(Eo)),PI abs,dRo/(1-dRo),PI total,DF abs,DF Total,kP / ABS * kF,kN / ABS * kF,Origin to F1,F1 to F3,F1 to F4,F1 to F5,F3 to F4,F4 to F5,F5 to Fm,
1,0,0,1500,1.0,1.00,1,01/01/00,00:30:13,       , NO,-,-,0,0,,800.00,66212,445,2030,1585,507,563,819,1305,1662,0.2192,0.781,1.3477,3.562,0.5426,0.7678,0.3533,0.7865,41.7740,60.5561,0.0522,1.8566,0.4070,1.4496,0.6631,0.337,0.7808,0.4574,0.3571,0.5076,0.1813,445.0000,97.5493,347.4507,158.9286,80.6700,2030.00000,445.0000,1585.00000,725.0000,368.0000,0.5386,3.562,0.8430,1.617,1.0308,1.6671,0.2088,0.2220,0.0018,0.0005,62,342,1790,16785,1447,14996,49365,
2,0,0,1500,1.0,1.00,1,01/01/00,00:56:36,       , NO,-,-,0,0,,180.00,15745,512,1724,1212,584,655,880,1151,1597,0.2970,0.703,0.6478,2.367,0.5272,0.8952,0.5858,1.0121,12.9912,24.9388,0.0722,2.7306,0.8109,1.9197,0.9076,0.201,0.7030,0.4728,0.3324,0.2216,0.0737,512.0000,152.0557,359.9443,170.1717,37.7169,1724.00000,512.0000,1212.00000,573.0000,127.0000,0.3662,2.367,0.8967,0.777,0.2848,0.2214,-0.1094,-0.6549,0.0014,0.0006,47,243,1341,9009,1097,7668,6690,
3,0,0,1500,1.0,1.00,1,01/01/00,00:58:21,       , NO,-,-,0,0,,700.00,37334,427,1543,1116,498,569,818,1084,1319,0.2767,0.723,0.5548,2.614,0.5887,0.7993,0.6362,1.1679,33.4538,66.3645,0.0478,2.7428,0.7590,1.9838,0.8159,0.398,0.7233,0.4113,0.2975,0.4880,0.1452,427.0000,118.1653,308.8347,127.0207,61.9883,1543.00000,427.0000,1116.00000,459.0000,224.0000,0.3646,2.614,0.6986,0.666,0.9532,0.6346,-0.1767,-0.1975,0.0017,0.0006,43,218,1089,10072,871,8983,27220,
4,0,0,1500,1.0,1.00,1,01/01/00,00:58:50,       , NO,-,-,0,0,,600.00,45773,431,1860,1429,531,624,954,1290,1577,0.2317,0.768,0.6940,3.316,0.6011,0.8020,0.6508,1.2200,32.0312,65.0070,0.0534,2.6416,0.6121,2.0295,0.8095,0.402,0.7683,0.3989,0.3065,0.4965,0.1522,431.0000,99.8715,331.1285,132.0806,65.5769,1860.00000,431.0000,1429.00000,570.0000,283.0000,0.3786,3.316,0.6636,0.833,0.9861,0.8212,-0.0794,-0.0855,0.0018,0.0005,54,275,1357,12968,1081,11612,32750,
5,0,0,1500,1.0,1.00,1,01/01/00,00:59:40,       , NO,-,-,0,0,,900.00,43361,519,1654,1135,570,614,793,1096,1379,0.3138,0.686,0.7640,2.187,0.5084,0.7577,0.3877,0.8047,38.2038,60.4728,0.0424,2.3067,0.7238,1.5829,0.7782,0.384,0.6862,0.4916,0.3374,0.4928,0.1663,519.0000,162.8543,356.1457,175.0919,86.2908,1654.00000,519.0000,1135.00000,558.0000,275.0000,0.4335,2.187,0.9671,0.917,0.9717,0.8909,-0.0377,-0.0502,0.0013,0.0006,44,243,1324,11757,1082,10433,31560,
6,0,0,1500,1.0,1.00,1,01/01/00,01:00:05,       , NO,-,-,0,0,,900.00,84331,650,1707,1057,692,731,900,1204,1402,0.3808,0.619,0.5065,1.626,0.5241,0.7114,0.3690,0.7884,79.7830,120.0105,0.0886,2.4292,0.9250,1.5042,0.7158,0.434,0.6192,0.4759,0.2947,0.6064,0.1787,650.0000,247.5103,402.4897,191.5349,116.1394,1707.00000,650.0000,1057.00000,503.0000,305.0000,0.4117,1.626,0.9079,0.608,1.5404,0.9362,-0.2162,-0.0286,0.0010,0.0006,41,228,1215,11315,987,10100,72975,
7,0,0,1500,1.0,1.00,1,01/01/00,01:00:31,       , NO,-,-,0,0,,500.00,38254,519,1631,1112,557,598,731,992,1400,0.3182,0.682,1.1008,2.143,0.4254,0.7923,0.3687,0.6355,34.4014,51.3960,0.0688,2.1913,0.6973,1.4940,0.8585,0.310,0.6818,0.5746,0.3918,0.3615,0.1416,519.0000,165.1508,353.8492,203.3360,73.5064,1631.00000,519.0000,1112.00000,639.0000,231.0000,0.4563,2.143,1.3510,1.321,0.5662,0.7479,0.1209,-0.1262,0.0013,0.0006,43,245,1472,11596,1226,10124,26615,
8,0,0,1500,1.0,1.00,1,01/01/00,01:01:09,       , NO,-,-,0,0,,800.00,23232,446,1330,884,517,588,824,1042,1178,0.3353,0.665,0.2509,1.982,0.6742,0.8281,0.8032,1.4253,26.2801,55.5585,0.0329,3.1807,1.0666,2.1141,0.6888,0.364,0.6647,0.3258,0.2165,0.5278,0.1143,446.0000,149.5609,296.4391,96.5774,50.9714,1330.00000,446.0000,884.0000,288.0000,152.0000,0.3144,1.982,0.4832,0.301,1.1176,0.3365,-0.5213,-0.4730,0.0015,0.0008,33,161,733,6328,572,5595,16870,
9,0,0,1500,1.0,1.00,1,01/01/00,01:01:34,       , NO,-,-,0,0,,260.00,19218,631,1328,697,695,758,947,1093,1201,0.4752,0.525,0.1078,1.105,0.6628,0.8178,0.9039,1.5112,27.5728,62.8645,0.1060,4.3440,2.0641,2.2799,0.7687,0.415,0.5248,0.3372,0.1770,0.5404,0.0956,631.0000,299.8200,331.1800,111.6604,60.3441,1328.00000,631.0000,697.0000,235.0000,127.0000,0.2302,1.105,0.5087,0.129,1.1759,0.1521,-0.8883,-0.8179,0.0008,0.0008,26,122,579,4917,457,4338,14275,
10,0,0,1500,1.0,1.00,1,01/01/00,01:02:32,       , NO,-,-,0,0,,900.00,46656,438,1682,1244,500,555,781,1115,1395,0.2604,0.740,0.8681,2.840,0.5442,0.7693,0.4421,0.9191,37.5052,63.3397,0.0417,2.2834,0.5946,1.6888,0.7697,0.390,0.7396,0.4558,0.3371,0.5062,0.1706,438.0000,114.0571,323.9429,147.6492,74.7360,1682.00000,438.0000,1244.00000,567.0000,287.0000,0.4379,2.840,0.8375,1.042,1.0250,1.0678,0.0178,0.0285,0.0017,0.0006,48,259,1350,12168,1091,10818,34440,
11,0,0,1500,1.0,1.00,1,01/01/00,01:52:19,       , NO,-,-,0,0,,0.03,0,4094,4095,1,4095,4095,4095,4095,4095,0.9998,0.000,0.0000,0.000,1.0000,1.0000,0.0000,3.3333,0.0000,0.0000,0.0000,13650.000000,13646.666667,3.3333,0.0000,0.000,0.0002,0.0000,0.0000,INF,0.0000,4094.00000,4093.00024,0.9998,0.0000,0.0000,4095.00000,4094.00000,1.0000,0.0000,0.0000,0.0001,0.000,0.0000,0.000,INF,INF,INF,INF,0.0000,0.0002,0,0,0,0,0,0,0,
12,0,0,1500,1.0,1.00,1,01/01/00,01:52:44,       , NO,-,-,0,0,,700.00,57075,432,2078,1646,521,599,933,1365,1738,0.2079,0.792,1.0738,3.810,0.5668,0.7934,0.4739,1.0146,34.6749,62.0654,0.0495,2.2597,0.4698,1.7899,0.7753,0.370,0.7921,0.4332,0.3431,0.4769,0.1636,432.0000,89.8094,342.1906,148.2271,70.6833,2078.00000,432.0000,1646.00000,713.0000,340.0000,0.4425,3.810,0.7642,1.289,0.9115,1.1746,0.1101,0.0699,0.0018,0.0005,63,336,1699,15672,1362,13973,41340,
13,0,0,1500,1.0,1.00,1,01/01/00,01:53:18,       , NO,-,-,0,0,,1.10,0,38,39,1,39,38,38,39,37,0.9744,0.026,INF,0.026,1.0000,-1.0000,-10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.0256,0.0000,0.0000,INF,0.0513,38.0000,37.0256,0.9744,0.0000,1.9487,39.0000,38.0000,1.0000,0.0000,2.0000,INF,0.026,0.0000,INF,-1.0000,INF,INF,INF,0.0007,0.0256,0,0,0,0,0,34,0,
14,0,0,1500,1.0,1.00,1,01/01/00,01:53:50,       , NO,-,-,0,0,,1.10,0,50,51,1,52,50,51,52,51,0.9804,0.020,-0.0001,0.020,2.0000,1.0000,-20.0000,3.3333,0.0000,0.0000,0.0000,85.0000,83.3333,1.6667,-1.6667,0.000,0.0196,-1.0000,-0.0196,-0.0000,0.0000,50.0000,49.0196,0.9804,-0.9804,0.0000,51.0000,50.0000,1.0000,-1.0000,0.0000,0.0118,0.020,-0.5000,-0.000,-0.0000,0.0000,INF,INF,0.0004,0.0196,0,0,0,0,0,19,0,
